ID,Tipo,REF,Nome,Publicado,"Em destaque?","Visibilidade no catálogo","Descrição curta",Descrição,"Data de preço promocional começa em","Data de preço promocional termina em","Status da taxa","Classe de taxa","Em estoque?",Estoque,"Quantidade baixa de estoque","São permitidas encomendas?","Vender individualmente?","Peso (kg)","Comprimento (cm)","Largura (cm)","Altura (cm)","Permitir avaliações de clientes?","Nota da compra","Preço promocional",Preço,Categorias,Tags,"Classe de entrega",Imagens,"Limite de download","Dias para expirar o download","Produto ascendente","Produtos agrupados","Aumenta vendas","Venda cruzada","URL externa","Texto do botão",Posição,"Nome do atributo 1","Valores do atributo 1","Visibilidade do atributo 1","Atributo global 1","Nome do atributo 2","Valores do atributo 2","Visibilidade do atributo 2","Atributo global 2"
4032,variable,62262002-2,"Peep Toe cetim sienna",'-1,0,visible,"Peep Toe confeccionado em cetim sienna. Salto de 8cm com pata de 1cm. Ref.: 62262002-2","Peep Toe confeccionado em cetim sienna. Salto de 8cm com pata de 1cm. Ref.: 62262002-2",,,taxable,,1,,,0,0,,,,,0,,,,"Festa, Liquida Verão 20%, Peep Toe, Todos",,,"https://divalesi.com.br/wp-content/uploads/2018/08/622-62002-cetim-sienna-2.jpg, https://divalesi.com.br/wp-content/uploads/2018/08/622-62002-cetim-sienna-1.jpg, https://divalesi.com.br/wp-content/uploads/2018/08/622-62002-cetim-sienna-3.jpg",,,,,,,,,0,Tamanho,"33, 34, 35, 36, 37, 38, 39, 40",1,1,,,,
4042,variable,18710641,"Sandália Vaqueta Crepúsculo / Vaqueta Grey",'-1,0,visible,"Sandália confeccionada em couro vaqueta crepúsculo e couro vaqueta grey. Salto de 8,5cm. Ref.: 18710641","Sandália confeccionada em couro vaqueta crepúsculo e couro vaqueta grey. Salto de 8,5cm. Ref.: 18710641",,,taxable,,1,,,0,0,,,,,0,,,,"Liquida Verão 40%, Todos",,,"https://divalesi.com.br/wp-content/uploads/2018/08/187-10641-vaq-crepusculo-2.jpg, https://divalesi.com.br/wp-content/uploads/2018/08/187-10641-vaq-crepusculo-1.jpg, https://divalesi.com.br/wp-content/uploads/2018/08/187-10641-vaq-crepusculo-3.jpg",,,,,,,,,0,Tamanho,"33, 34, 35, 36, 37, 38, 39, 40",1,1,Cor,"Vaqueta Crepúsculo, Vaqueta Grey",1,1
4059,variable,18710711,"Sandália Vitelo Preto",'-1,0,visible,"Sandália confeccionada em couro vitelo preto. Salto de 8,5cm. Ref.: 18710711","Sandália confeccionada em couro vitelo preto. Salto de 8,5cm. Ref.: 18710711",,,taxable,,1,,,0,0,,,,,0,,,,"Liquida Verão 40%, Todos",,,"https://divalesi.com.br/wp-content/uploads/2018/08/187-10711-Vitelo-Preto-2.jpg, https://divalesi.com.br/wp-content/uploads/2018/08/187-10711-Vitelo-Preto-3.jpg, https://divalesi.com.br/wp-content/uploads/2018/08/187-10711-Vitelo-Preto-1.jpg",,,,,,,,,0,Tamanho,"33, 34, 35, 36, 37, 38, 39, 40",1,1,Cor,"Couro Snake Natural, Vitelo Preto",1,1
4068,variable,86886157,"Peep Toe Cetim Preto Fosco",'-1,0,visible,"Peep Toe confeccionado em cetim preto fosco. Salto de 11cm com pata de 2cm. Ref.: 86886157","Peep Toe confeccionado em cetim preto fosco. Salto de 11cm com pata de 2cm. Ref.: 86886157",,,taxable,,1,,,0,0,,,,,0,,,,"Festa, Liquida Verão 30%, Todos",,,"https://divalesi.com.br/wp-content/uploads/2018/08/868-86157-cetim-preto-fosco-3.jpg, https://divalesi.com.br/wp-content/uploads/2018/08/868-86157-cetim-preto-fosco-1.jpg, https://divalesi.com.br/wp-content/uploads/2018/08/868-86157-cetim-preto-fosco-2.jpg",,,,,,,,,0,Tamanho,"33, 34, 35, 36, 37, 38, 39, 40",1,1,Cor,"Brilhante Prata",1,1
4092,variable,86886345,"Peep Toe Brilhante Champanhe",'-1,0,visible,"Peep Toe confeccionado em brilhante champanhe. Salto de 11cm com pata de 2cm. Ref.: 86886345","Peep Toe confeccionado em brilhante champanhe. Salto de 11cm com pata de 2cm. Ref.: 86886345",,,taxable,,1,,,0,0,,,,,0,,,,"Festa, Liquida Verão 30%, Peep Toe, Todos",,,"https://divalesi.com.br/wp-content/uploads/2018/08/868-86345-brilhante-champanhe-2.jpg, https://divalesi.com.br/wp-content/uploads/2018/08/868-86345-brilhante-champanhe-3.jpg, https://divalesi.com.br/wp-content/uploads/2018/08/868-86345-brilhante-champanhe-1.jpg",,,,,,,,,0,Tamanho,"33, 34, 35, 36, 37, 38, 39, 40",1,1,,,,
4107,variable,16810556,"Sandália Vitelo Cereja",'-1,0,visible,"Sandália confeccionada em couro vitelo cereja. Salto de 12cm com pata de 3cm. Ref.: 16810556","Sandália confeccionada em couro vitelo cereja. Salto de 12cm com pata de 3cm. Ref.: 16810556",,,taxable,,1,,,0,0,,,,,0,,,,"Liquida Verão 40%, Todos",,,"https://divalesi.com.br/wp-content/uploads/2018/08/168-10556-Vitelo-cereja-2.jpg, https://divalesi.com.br/wp-content/uploads/2018/08/168-10556-Vitelo-cereja-1.jpg, https://divalesi.com.br/wp-content/uploads/2018/08/168-10556-Vitelo-cereja-3.jpg",,,,,,,,,0,Tamanho,"33, 34, 35, 36, 37, 38, 39, 40",1,1,Cor,"Vitelo Cereja",1,1
4243,variable,62262032,"Peep Toe Slingback Brilhante Prata",'-1,0,visible,"Peep toe modelo chanel confeccionado em brilhante prata. Salto de 8cm com pata de 1cm. Ref.: 62262032","Peep Toe Slingback confeccionado em brilhante prata. Salto de 8cm com pata de 1cm. Ref.: 62262032",,,taxable,,1,,,0,0,,,,,0,,,,"Festa, Liquida Verão 20%, Peep Toe, Todos",,,"https://divalesi.com.br/wp-content/uploads/2018/08/622-62032-brilhante-prata-2.jpg, https://divalesi.com.br/wp-content/uploads/2018/08/622-62032-brilhante-prata-1.jpg, https://divalesi.com.br/wp-content/uploads/2018/08/622-62032-brilhante-prata-3.jpg",,,,,,,,,0,Tamanho,"33, 34, 35, 36, 37, 38, 39, 40",1,1,,,,
4301,variable,62262111,"Peep Toe Tela Ricamo Branco Lame",1,0,visible,"Peep Toe confeccionado em tela ricamo branco e lame branco. Salto de 8cm com pata de 1cm. Ref.: 62262111","Peep Toe confeccionado em tela ricamo branco e lame branco. Salto de 8cm com pata de 1cm. Ref.: 62262111",,,taxable,,1,,,0,0,,,,,0,,,,"Noivas, Todos",,,"https://divalesi.com.br/wp-content/uploads/2018/08/622-62111-tela-ricamo-branco-2.jpg, https://divalesi.com.br/wp-content/uploads/2018/08/622-62111-tela-ricamo-branco-1.jpg, https://divalesi.com.br/wp-content/uploads/2018/08/622-62111-tela-ricamo-branco-3.jpg",,,,,,,,,0,Tamanho,"33, 34, 35, 36, 37, 38, 39, 40",1,1,,,,
4310,variable,"622 62002-1","Peep Toe Brilhante Branco",1,0,visible,"Peep Toe confeccionado em brilhante branco. Salto de 8cm com pata de 1cm. Ref.: 622 62002. Ref.: 62262002-1","Peep Toe confeccionado em brilhante branco. Salto de 8cm com pata de 1cm. Ref.: 622 62002. Ref.: 62262002-1",,,taxable,,1,,,0,0,,,,,0,,,,"Noivas, Todos",,,"https://divalesi.com.br/wp-content/uploads/2018/08/622-62002-brilhante-branco-2.jpg, https://divalesi.com.br/wp-content/uploads/2018/08/622-62002-brilhante-branco-3.jpg, https://divalesi.com.br/wp-content/uploads/2018/08/622-62002-brilhante-branco-1.jpg",,,,,,,,,0,Tamanho,"33, 34, 35, 36, 37, 38, 39, 40",1,1,,,,
4326,variable,86886345-1,"Peep Toe Lame Branco",1,0,visible,"Peep Toe confeccionado em lame branco. Salto de 11cm com pata de 2cm. Ref.: 86886345-1","Peep Toe confeccionado em lame branco. Salto de 11cm com pata de 2cm. Ref.: 86886345-1",,,taxable,,1,,,0,0,,,,,0,,,,"Noivas, Todos",,,"https://divalesi.com.br/wp-content/uploads/2018/08/868-86345-lame-branco-2.jpg, https://divalesi.com.br/wp-content/uploads/2018/08/868-86345-lame-branco-1.jpg, https://divalesi.com.br/wp-content/uploads/2018/08/868-86345-lame-branco-3.jpg",,,,,,,,,0,Tamanho,"33, 34, 35, 36, 37, 38, 39, 40",1,1,,,,
